timestamp,timestamp,trackNumber,e1.x,e1.y,e1.z,e1.latitude,e1.longitude,e1.altitude,e1.xdot,e1.ydot,e1.zdot,e1.velocityEast,e1.velocityNorth,e1.velocityUp,e1.groundSpeed,e1.heading,e1.trackQuality,e1.category,e1.is3d,e1.isDeadReckon,e1.trackId,e1.specificType,e1.platform,e1.activity,e1.timestampMicro,e8.mode4,e11.isSimulated,e11.isEmergency,e11.isSpecialProcessing,e11.isFlightPlan,e11.isExercise,e11.isManeuver,e11.isTest,e11.isNonRealTime,e15.sourceId,e18.a1,e18.a2,e18.a3,e18.a4,e18.a5,e18.a6,e18.b2,e18.b3,e18.b4,e18.b5,e18.b6,e18.c3,e18.c4,e18.c5,e18.c6,e18.d4,e18.d5,e18.d6,e18.e5,e18.e6,e18.f6,e3.dropTrack,e7.mode3a,e12.callsign,e10.aircraftICAOType,e14.destinationAerodrome,e23.response,e23.nationalOrigin,e23.platformIdNumber,e23.mode1Code,e23.derivedMode1,e23.derivedMode2,e23.derivedMode3a,e23.derivedMode3c,e9.aircraftAddress,e13.originAerodrome
1743525878,2025-04-01 16:44:38,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,442606,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743525888,2025-04-01 16:44:48,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,453018,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743525903,2025-04-01 16:45:03,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,487870,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526043,2025-04-01 16:47:23,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,707788,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526178,2025-04-01 16:49:38,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,936747,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526188,2025-04-01 16:49:48,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,951107,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526203,2025-04-01 16:50:03,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,977998,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526213,2025-04-01 16:50:13,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,8932,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526223,2025-04-01 16:50:23,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,18122,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
1743526238,2025-04-01 16:50:38,44642,1175526.604,-5288014.549,3373325.534,32.08395619,-77.46693572,9418.32,0,0,0,0,0,0,0,0,7,Air,TRUE,FALSE,Unknown,0,0,0,42071,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4294967295,4654933.169,641243.2685,-411814.1142,0,0,0,1912898.941,1852513.605,0,0,0,3607775.22,0,0,0,232.2576,0,0,232.2576,0,232.2576,,,,,,,,,,,,,,,
